New_name
Acharya N.G. Ranga Agricultural University
Acharya Nagarjuna University
Adikavi Nannaya University
Ahmedabad University
Alagappa University
Aliah University
Aligarh Muslim University
All India Institute of Medical Sciences
Alliance University
Amity University
Amrita Vishwa Vidyapeetham
Anand Agricultural University
Andhra University
Anna University
Annamalai University
AP Goyal Shimla University
Apeejay Stya University
Arni University
Arunachal University of Studies
Aryabhatta Knowledge University
Ashoka University
Assam Agricultural University
Assam Don Bosco University
Assam Down Town University
Assam Rajiv Gandhi University of Cooperative Management
Assam Science and Technology University
Assam Women's University
Atal Bihari Vajpayee Hindi Vishwavidyalaya
AURO University
Avinashilingam University
Awadhesh Pratap Singh University
Ayush and Health Sciences University
Azim Premji University
B.R. Ambedkar Bihar University
B.S. Abdur Rahman University
Baba Farid University of Health Sciences
Baba Ghulam Shah Badhshah University
Baba Mast Nath University
Babasaheb Bhimrao Ambedkar University
Babu Banarasi Das University
Baddi University of Emerging Sciences and Technologies
BAHRA University
Banaras Hindu University
Banasthali Vidyapith
Banda University of Agriculture and Technology
Bangalore University
Bankura University
Barkatullah University
Bastar Vishwavidyalaya
Berhampur University
Bhagat Phool Singh Mahila Vishwavidyalaya
Bhagwant University
Bhakta Kavi Narsinh Mehta University
Bharat Ratna Dr. B.R. Ambedkar University
Bharath Institute of Higher Education and Research
Bharathiar University
Bharathidasan University
Bharati Vidyapeeth University
Bhatkhande Music Institute
Bhupendra Narayan Mandal University
Bidhan Chandra Krishi Vishwavidyalaya
Bihar Agricultural University
Biju Patnaik University of Technology
BILASPUR VISHWAVIDYALAYA
Birla Institute of Technology
Birla Institute of Technology and Science
Birsa Agricultural University
BLDE University
BML Munjal University
Bodoland University
Bundelkhand University
C. U. Shah University
Calorx Teachers University
Calorx Teachers' University
Career Point University
Central Agricultural University
Central Institute of Fisheries Education
Central University
CEPT University
Ch. Bansi Lal University
Chanakya National Law University
Chandigarh University
Chandra Shekhar Azad University of Agriculture and Technology
Charotar University of Science and Technology
Chaudhary Charan Singh Haryana Agricultural University
Chaudhary Charan Singh University
Chaudhary Devi Lal University
Chaudhary Ranbir Singh University
Chennai Mathematical Institute
Chhatrapati Shahu Ji Maharaj University
Chhattisgarh Kamdhenu Vishwavidyalaya
Chhattisgarh Swami Vivekananda Technical University
Children’s University
Chitkara University
Christ University
CMR University
Cochin University of Science and Technology
Cooch Behar Panchanan Barma University
Cotton College State University
CSK Himachal Pradesh Krishi Vishvavidyalaya
Dakshina Bharat Hindi Prachar Sabha
Damodaram Sanjivayya National Law University
Datta Meghe Institute of Medical Sciences
Davangere University
Dayalbagh Educational Institute
Deccan College Post-Graduate and Research Institute
Deen Dayal Upadhyay Gorakhpur University
Deenbandhu Chhotu Ram University of Science and Technology
Chhotu Ram State College of Engineering
Delhi Technological University
Desh Bhagat University
Dev Sanskriti Vishwavidyalaya
Devi Ahilya Vishwavidyalaya
Dharmsinh Desai University
Dhirubhai Ambani Institute of Information and Communication Technology
Diamond Harbour Women’s University
Dibrugarh University
DIT University
Doon University
Dr K.N. Modi University
Dr. A.P.J. Abdul Kalam Technical University
Dr. B R Ambedkar National Institute of Technology Jalandhar
Dr. B.R. Ambedkar University
Dr. Babasaheb Ambedkar Marathwada University
Dr. Babasaheb Ambedkar Technological University
Dr. Balasaheb Sawant Konkan Krishi Vidyapeeth
Dr. C.V. Raman University
Dr. D.Y. Patil Vidyapeeth
Dr. Hari Singh Gour University
Dr. M.G.R. Educational and Research Institute
Dr. N.T.R. University of Health Sciences
Dr. Panjabrao Deshmukh Krishi Vidyapeeth
Dr. Ram Manohar Lohia Avadh University
Awadh University
Dr. Ram Manohar Lohiya National Law University
Dr. Sarvepalli Radhakrishnan Rajasthan Ayurved University
Dr. Shakuntala Misra Rehabilitation University
Dr. Y.S. Parmar University of Horticulture and Forestry
Dr.Y.S.R. Horticultural University
Dravidian University
EIILM University
Eternal University
Fakir Mohan University
Galgotias University
Gandhi Institute of Technology and Management
Gandhigram Rural University
Ganpat University
Gauhati University
Gautam Buddha University
Geetanjali University
GLA University
Glocal University
GLS University
GNA University
Goa University
Gokhale Institute of Politics and Economics
Gondwana University
Govind Ballabh Pant University of Agriculture and Technology
Graphic Era Hill University
Graphic Era University
GSFC University
Gujarat Ayurved University
Gujarat Forensic Sciences University
Gujarat National Law University
Gujarat Technological University
Gujarat University
Gujarat University of Transplantation Sciences
Gujarat Vidyapith
Gulbarga University
Guru Angad Dev Veterinary and Animal Sciences University
Guru Ghasidas Vishwavidyalaya
Guru Gobind Singh Indraprastha University
Guru Jambheshwar University of Science and Technology
Guru Kashi University
Guru Nanak Dev University
Guru Ravidas Ayurved University
Gurukul Kangri Vishwavidyalaya
Haridev Joshi University of Journalism and Mass Communication
Hemchandracharya North Gujarat University
Hemwati Nandan Bahuguna Garhwal University
Hemwati Nandan Bahuguna Medical University
Hidayatullah National Law University
Himachal Pradesh Technical University
Himachal Pradesh University
Himgiri ZEE University
Hindustan Institute of Technology and Science
Homi Bhabha National Institute
ICFAI University
IEC University
IFHE
IFTM University
IMS Unison University
Indian Agricultural Research Institute
Indian Institute of Engineering Science and Technology
Bengal Engineering and Science University
Indian Institute of Foreign Trade
Indian Institute of Information Technology
Indian Institute of Information Technology and Management
"Indian Institute of Information Technology, Design and Manufacturing"
Indian Institute of Science
Indian Institute of Science Education and Research
Indian Institute of Space Science and Technology
Indian Institute of Teacher Education
Indian Institute of Technology
Indian Maritime University
Indian School of Mines
Indian Statistical Institute
Indian Veterinary Research Institute
Indira Gandhi Delhi Technical University for Women
Indira Gandhi Institute of Development Research
Indira Gandhi Institute of Medical Sciences
Indira Gandhi Krishi Vishwavidyalaya
Indira Gandhi National Tribal University
Indira Gandhi Technological And Medical Sciences University
Indira Gandhi University
Indira Kala Sangit Vishwavidyalaya
Indraprastha Institute of Information Technology
Indus International University
Indus University
Institute of Advanced Research
Institute of Advanced Studies in Education
Institute of Chemical Technology
"Institute of Infrastructure, Technology, Research and Management"
Integral University
International Institute for Population Sciences
International Institute of Information Technology
Invertis University
Islamic University of Science and Technology
ITM University Gwalior
ITM University Raipur
Jadavpur University
Jagadguru Ramanandacharya Rajasthan Sanskrit University
Jagadguru Rambhadracharya Handicapped University
Jagadguru Sri Shivarathreeswara University
Jagan Nath University
Jagran Lakecity University
Jai Narain Vyas University
Jai Prakash Vishwavidyalaya
Jain University
Jain Vishva Bharati Institute
Jaipur National University
Jamia Hamdard
Jamia Millia Islamia
Janardan Rai Nagar Rajasthan Vidhyapeeth University
Jawaharlal Institute of Postgraduate Medical Education and Research
Jawaharlal Nehru Architecture and Fine Arts University
Jawaharlal Nehru Centre for Advanced Scientific Research
Jawaharlal Nehru Krishi Vishwavidyalaya
Jawaharlal Nehru Technological University
Jawaharlal Nehru University
Jayoti Vidyapeeth Women's University
Jaypee Institute of Information Technology
Jaypee University of Engineering and Technology
Jaypee University of Information Technology
Jaypee University
JECRC University
Jharkhand Rai University
Jiwaji University
JK Lakshmipat University
Jodhpur National University
JS University
Junagadh Agricultural University
K L University
K.R. Mangalam University
Kadi Sarva VishwaVidyalaya
Kakatiya University
Kalasalingam University
Kalinga University
Kamdhenu University
Kameshwar Singh Darbhanga Sanskrit University
Kannada University
Kannur University
Karnatak University
Karnataka Janapada Vishwavidyalaya
Karnataka Sanskrit University
Karnataka State Dr. Gangubai Hangal Music And Performing Arts University
Karnataka State Law University
Karnataka State Women's University
"Karnataka Veterinary, Animal and Fisheries Sciences University"
Karpagam Academy of Higher Education
Karunya University
Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya
Kazi Nazrul University
Kaziranga University
Kerala Agricultural University
Kerala Kalamandalam
Kerala University of Fisheries and Ocean Studies
Kerala University of Health Sciences
Kerala Veterinary and Animal Sciences University
"Khwaja Moinuddin Chishti Urdu, Arabi-Farsi University"
KIIT University
King George's Medical University
KLE University
Kolhan University
Krantiguru Shyamji Krishna Verma Kachchh University
Krishna Institute of Medical Sciences
Krishna University
Kumar Bhaskar Varma Sanskrit And Ancient Studies University
Kumaun University
Kurukshetra University
Kushabhau Thakre Patrakarita Avam Jansanchar University
Kuvempu University
Lakshmibai National Institute of Physical Education
Lakulish Yoga University
Lala Lajpat Rai University of Veterinary and Animal Sciences
Lalit Narayan Mithila University
Lingaya's University
Lovely Professional University
M. S. Ramaiah University of Applied Sciences
Madan Mohan Malaviya University of Technology
Madhav University
Madhya Pradesh Pashu-Chikitsa Vigyan Vishwavidyalaya
Madurai Kamaraj University
Magadh University
Mahapurusha Srimanta Sankaradeva Viswavidyalaya
Maharaja Agrasen University
Maharaja Chhatrasal Bundelkhand University
Maharaja Ganga Singh University
Maharaja Krishnakumarsinhji Bhavnagar University
Maharaja Ranjit Singh Punjab Technical University
Maharaja Surajmal Brij University
Maharana Pratap University of Agriculture and Technology
Maharashtra Animal and Fishery Sciences University
Maharashtra University of Health Sciences
Maharishi Dayanand University
Maharishi Mahesh Yogi Vedic Vishwavidyalaya
Maharishi Markandeshwar University
Maharishi University of Management and Technology
Maharshi Dayanand Saraswati University
Maharshi Panini Sanskrit Vishwavidyalaya
Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya
Mahatma Gandhi Central University
Mahatma Gandhi Chitrakoot Gramoday Vishwavidyalaya
Mahatma Gandhi Kashi Vidyapeeth
Mahatma Gandhi University
Mahatma Gandhi University of Medical Sciences and Technology
Mahatma Jyoti Rao Phoole University
Mahatma Jyotiba Phule Rohilkhand University
Mahatma Phule Krishi Vidyapeeth
Makhanlal Chaturvedi Rashtriya Patrakarita Vishwavidyalaya
Malaviya National Institute of Technology
Manav Bharti University
Manav Rachna International University
Manav Rachna University
Mangalayatan University
Mangalore University
Manipal University
Manipur University
Manonmaniam Sundaranar University
Martin Luther Christian University
MATS University
Maulana Abul Kalam Azad University of Technology
Maulana Azad National Institute of Technology
Maulana Azad National Urdu University
Maulana Mazharul Haque Arabic and Persian University
Meenakshi Academy of Higher Education and Research
Mewar University
MGM Institute of Health Sciences
Mizoram University
Mody University
Mohammad Ali Jauhar University
Mohanlal Sukhadia University
Monad University
Mother Teresa Women's University
Motherhood University
Motilal Nehru National Institute of Technology
MVN University
Nagaland University
Nalanda University
NALSAR University of Law
Narendra Dev University of Agriculture and Technology
