,College Name,New_name
0, D.P. B.S. Degree college Anoopshahr, D.P. B.S. Degree college Anoopshahr
1, sanda College, sanda College
2,100 LEADS INSTITUTE OF TECHNOLOGY & ENGINEERING MATAR, LEADS INSTITUTE OF TECHNOLOGY  ENGINEERING MATAR
3,101 IPCOWALA INSTITUTE OF ENGINEERING & TECHNOLOGY DHARMAJ, IPCOWALA INSTITUTE OF ENGINEERING  TECHNOLOGY DHARMAJ
4,102 OM ENGINEERING COLLEGE CHOKLI, OM ENGINEERING COLLEGE CHOKLI
5,103 OM INSTITUTE OF TECHNOLOGY VANTAVACHHODA, OM INSTITUTE OF TECHNOLOGY VANTAVACHHODA
6,107 SHRI J M SABVA INSTITUTE OF ENGINEERING & TECHNOLOGY, SHRI J M SABVA INSTITUTE OF ENGINEERING  TECHNOLOGY
7,201 A.R.COLLEGE OF PHARMACY & G.H.P. INSTITUTE OF PHARMACY, A.R.COLLEGE OF PHARMACY  G.H.P. INSTITUTE OF PHARMACY
8,202 A.R.COLLEGE OF PHARMACY & G.H.P. INSTITUTE OF PHARMACY, A.R.COLLEGE OF PHARMACY  G.H.P. INSTITUTE OF PHARMACY
9,203 AKSHAR-PREET INSTITUTE OF PHARMACY, AKSHARPREET INSTITUTE OF PHARMACY
10,205 ANAND PHARMACY COLLEGE, ANAND PHARMACY COLLEGE
11,206 A-ONE PHARMACY COLLEGE, AONE PHARMACY COLLEGE
12,207 A.P.M.C. COLLEGE OF PHARMACEUTICAL EDUCATION AND RESEARCH, A.P.M.C. COLLEGE OF PHARMACEUTICAL EDUCATION AND RESEARCH
13,208 ARIHANT SCHOOL OF PHARMACY, ARIHANT SCHOOL OF PHARMACY
14,209 ATMIYA PHARMACY COLLEGE, ATMIYA PHARMACY COLLEGE
15,210 ATMIYA INSTITUTE OF PHARMACY, ATMIYA INSTITUTE OF PHARMACY
16,211 AVANTIKA EDUCATION TRUST B.PHARMACY COLLEGE, AVANTIKA EDUCATION TRUST B.PHARMACY COLLEGE
17,212 B.K.MODI GOVERMENT PHARMACY COLLEGE, B.K.MODI GOVERMENT PHARMACY COLLEGE
18,213 BABARIA INSTITUTE OF PHARMACY, BABARIA INSTITUTE OF PHARMACY
19,214 PARUL INSTITUTE OF PHARMACY & RESEARCH , PARUL INSTITUTE OF PHARMACY  RESEARCH 
20,215 BHAGVAN MAHAVIR PHARMACY COLLEGE, BHAGVAN MAHAVIR PHARMACY COLLEGE
21,216 C.K.PITHAWALA INSTITUTE OF PHARMACETICAL SCIENCE RESEARCH, C.K.PITHAWALA INSTITUTE OF PHARMACETICAL SCIENCE RESEARCH
22,217 C.U. SHAH COLLEGE OF PHARMACY & RESEARCH, C.U. SHAH COLLEGE OF PHARMACY  RESEARCH
23,219 G.H.B. PHARMACY COLLEGE, G.H.B. PHARMACY COLLEGE
24,220 B. PHARMACY COLLEGE, B. PHARMACY COLLEGE
25,223 INDUKAKA IPCOWALA COLLEGE OF PHARMACY, INDUKAKA IPCOWALA COLLEGE OF PHARMACY
26,224 K.B.RAVAL COLLEGE OF PHARMACY, K.B.RAVAL COLLEGE OF PHARMACY
27,225 KALOL INSTITUTE OF PHARMACY, KALOL INSTITUTE OF PHARMACY
28,226 L.B.RAO COLLEGE OF PHARMACEUTICAL EDU. AND RES., L.B.RAO COLLEGE OF PHARMACEUTICAL EDU. AND RES.
29,227 L.J.INSTITUTE OF PHARMACY, L.J.INSTITUTE OF PHARMACY
30,228 L.M.COLLEGE OF PHARMACY, L.M.COLLEGE OF PHARMACY
31,229 M.P.PATEL COLLEGE OF PHARMACY, M.P.PATEL COLLEGE OF PHARMACY
32,231 N.R.VEKARIA INSTITUTE OF PHARMACY, N.R.VEKARIA INSTITUTE OF PHARMACY
33,232 NOOTAN PHARMACY COLLEGE, NOOTAN PHARMACY COLLEGE
34,233 PARUL INSTITUTE OF PHARMACY, PARUL INSTITUTE OF PHARMACY
35,235 PIONEER PHARMACY COLLEGE, PIONEER PHARMACY COLLEGE
36,238 RADHE SCHOOL OF PHARMACY, RADHE SCHOOL OF PHARMACY
37,239 ROFEL, ROFEL
38,240 B. S. PATEL PHARMACY COLLEGE, B. S. PATEL PHARMACY COLLEGE
39,241 DHARMAJ DEGREE PHARMACY COLLEGE, DHARMAJ DEGREE PHARMACY COLLEGE
40,242 SARASWATI INSTITUTE OF PHARMACEUTICAL SCIENCES, SARASWATI INSTITUTE OF PHARMACEUTICAL SCIENCES
41,244 SARDAR PATEL COLLEGE OF PHARMACY COLLEGE, SARDAR PATEL COLLEGE OF PHARMACY COLLEGE
42,245 SARVJANIK PHARMACY COLLEGE, SARVJANIK PHARMACY COLLEGE
43,246 SAT KAIVAL COLLEGE OF PHARMACY, SAT KAIVAL COLLEGE OF PHARMACY
44,247 SHARDA SCHOOL OF PHARMACY, SHARDA SCHOOL OF PHARMACY
45,249 S.S.INSTITUTE OF PHARMACEUTICAL EDUCATION & RESEARCH, S.S.INSTITUTE OF PHARMACEUTICAL EDUCATION  RESEARCH
46,250 SHREE H.N.SHUKLA INSTITUTE OF PHARMACEUTICAL EDUCATION & RESEARCH, SHREE H.N.SHUKLA INSTITUTE OF PHARMACEUTICAL EDUCATION  RESEARCH
47,251 SHREE LEUVA PATEL TRUST PHARMACY MAHILA COLLEGE, SHREE LEUVA PATEL TRUST PHARMACY MAHILA COLLEGE
48,252 SHRI B.M.SHAH COLLEGE OF PHARMACEUTICAL EDUCATION AND RESEARCH, SHRI B.M.SHAH COLLEGE OF PHARMACEUTICAL EDUCATION AND RESEARCH
49,253 K.V.VIRANI INSTITUTE OF PHARMACY AND RESEARCH CENTRE, K.V.VIRANI INSTITUTE OF PHARMACY AND RESEARCH CENTRE
50,254 SHRI DHANVANTARY PHARMACY COLLEGE, SHRI DHANVANTARY PHARMACY COLLEGE
51,255 SHREE KRISHNA INSTITUTE OF PHARMACY, SHREE KRISHNA INSTITUTE OF PHARMACY
52,256 SHRI SAMANVAY INSTITUTE OF PHARMACY, SHRI SAMANVAY INSTITUTE OF PHARMACY
53,258 SHRI SWAMINARAYAN COLLEGE OF PHARMACY, SHRI SWAMINARAYAN COLLEGE OF PHARMACY
54,259 SHREE SWAMINARAYAN PHARMACY COLLEGE, SHREE SWAMINARAYAN PHARMACY COLLEGE
55,260 SHRI SWAMINARAYAN SANSKAR PHARMACY COLLEGE, SHRI SWAMINARAYAN SANSKAR PHARMACY COLLEGE
56,261 SIGMA INSTITUTE OF PHARMACY, SIGMA INSTITUTE OF PHARMACY
57,262 SMT NILABEN MANUBHAI PADALIA PHARMACY COLLEGE, SMT NILABEN MANUBHAI PADALIA PHARMACY COLLEGE
58,263 SMT R. D. GARDI B. PHARMACY COLLEGE, SMT R. D. GARDI B. PHARMACY COLLEGE
59,264 SURYABEN JASHUBHAI THAKKAR PHARMACY COLLEGE, SURYABEN JASHUBHAI THAKKAR PHARMACY COLLEGE
60,265 SWAMINARAYAN PHARMACY COLLEGE, SWAMINARAYAN PHARMACY COLLEGE
61,266 MATUSHREE V.B.MANVAR COLLEGE OF PHARMACY, MATUSHREE V.B.MANVAR COLLEGE OF PHARMACY
62,267 VEERAYATAN INSTITUTE OF PHARMACY, VEERAYATAN INSTITUTE OF PHARMACY
63,268 VIDHYABHARTI TRUST COLLEGE OF PHARMACY, VIDHYABHARTI TRUST COLLEGE OF PHARMACY
64,273 I. K. PATEL COLLEGE OF PHARMACEUTICAL EDU. & RESEARCH, I. K. PATEL COLLEGE OF PHARMACEUTICAL EDU.  RESEARCH
65,274 LAXMINARAYAN DEV COLLEGE OF PHARMACY, LAXMINARAYAN DEV COLLEGE OF PHARMACY
66,275 R. H. PATEL COLLEGE OF PHARMACY, R. H. PATEL COLLEGE OF PHARMACY
67,277 SAL INSTITUTE OF PHARMACY, SAL INSTITUTE OF PHARMACY
68,278 SHANKARSINH VAGHELA BAPU INSTITUTE OF PHARMACY, SHANKARSINH VAGHELA BAPU INSTITUTE OF PHARMACY
69,282 SHIVAM PHARMACEUTICAL STUDIES & RESEARCH CENTER , SHIVAM PHARMACEUTICAL STUDIES  RESEARCH CENTER 
70,283 SHREE MUKUNDLAL VITTHALDAS SHAH PHARMACY COLLEGE, SHREE MUKUNDLAL VITTHALDAS SHAH PHARMACY COLLEGE
71,284 SMT.. R. B. PATEL MAHILA PHARMACY COLLEGE, SMT.. R. B. PATEL MAHILA PHARMACY COLLEGE
72,286 SMT. S. M. SHAH PHAMACY COLLEGE, SMT. S. M. SHAH PHAMACY COLLEGE
73,287 DR. SUBHASH PETHALJIBHAI CHAVDA AHIR KELVANI MANDAL'S GROUP OF INSTITUTION-PHARMACY , DR. SUBHASH PETHALJIBHAI CHAVDA AHIR KELVANI MANDALS GROUP OF INSTITUTIONPHARMACY 
74,357 Late.Uttamrao Deshmukh Adhyapak Mahavidyalaya, Late.Uttamrao Deshmukh Adhyapak Mahavidyalaya
75,401 A. R. COLLEGE OF PHARMACY & G.H.P. INSTITUTE OF PHARMACY, A. R. COLLEGE OF PHARMACY  G.H.P. INSTITUTE OF PHARMACY
76,403 B. K. Mody Govt.Pharmacy College , B. K. Mody Govt.Pharmacy College 
77,406 Dr. Dayaram Patel Pharmacy College , Dr. Dayaram Patel Pharmacy College 
78,408 L. M. College Of Pharmacy , L. M. College Of Pharmacy 
79,409 M. N. College Of Pharmacy , M. N. College Of Pharmacy 
80,410 Babasaheb Deshmukh Parvekar College, Babasaheb Deshmukh Parvekar College
81,414 Shantilal Shah Pharmacy College , Shantilal Shah Pharmacy College 
82,415 Shri B. M. Shah College Of Pharmacy , Shri B. M. Shah College Of Pharmacy 
83,417 Tolani Institute Of Pharmacy , Tolani Institute Of Pharmacy 
84,501 Anand Institute of Information Science , Anand Institute of Information Science 
85,502 ATMIYA INSTITUTE OF TECH & SC., ATMIYA INSTITUTE OF TECH  SC.
86,503 B. H. Gardi College of Engineering & Technology , B. H. Gardi College of Engineering  Technology 
87,504 Bhagwan Mahavir College of Management-Surat , Bhagwan Mahavir College of ManagementSurat 
88,505 C. U. Shah College of Master of Computer Application , C. U. Shah College of Master of Computer Application 
89,506 Chaudhari Technical Institute , Chaudhari Technical Institute 
90,507 D.L.Patel Institute of Management & Technology, D.L.Patel Institute of Management  Technology
91,509 GLS Institute of Computer Technology , GLS Institute of Computer Technology 
92,511 Institute of Science & Technology for Advanced Studies & Research , Institute of Science  Technology for Advanced Studies  Research 
93,513 K.P.Patel School of Management and Computer Studies , K.P.Patel School of Management and Computer Studies 
94,514 Kalol Institute of Management , Kalol Institute of Management 
95,515 Laljibhai Chaturbhai Institute of Technology , Laljibhai Chaturbhai Institute of Technology 
96,516 L D College Of Engineering, L D College Of Engineering
97,517 L.J.Institute of Computer Applications , L.J.Institute of Computer Applications 
98,518 L.J.Institute of Computer Applications, L.J.Institute of Computer Applications
99,519 L.J.Institue of Management Studies, L.J.Institue of Management Studies
100,520 Laxmi Institute of Computer Applications , Laxmi Institute of Computer Applications 
101,521 Leelaben Dashrathbhai Ramdas Patel Institute of Technology & Research , Leelaben Dashrathbhai Ramdas Patel Institute of Technology  Research 
102,522 Marwadi Education Foundation`s Group of Institutions, Marwadi Education Foundations Group of Institutions
103,523 Narmada College of Computer Application, Narmada College of Computer Application
104,524 Nootan Sarva Vidyalaya Kelavani Mandal Sanchalit MCA College, Nootan Sarva Vidyalaya Kelavani Mandal Sanchalit MCA College
105,525 Parul Institute of Engineering & Technology-MCA Programme , Parul Institute of Engineering  TechnologyMCA Programme 
106,528 S V Institute of Computer Studies, S V Institute of Computer Studies
107,529 Department of MCA Sankalchand Patel College of Engineering , Department of MCA Sankalchand Patel College of Engineering 
108,531 Sarvajanik College of Engineering & Technology, Sarvajanik College of Engineering  Technology
109,532 Sarvoday College of Management and Technology , Sarvoday College of Management and Technology 
110,533 Shree Swaminarayan Institute of Technology, Shree Swaminarayan Institute of Technology
111,534 Brahmanand institute of computer science, Brahmanand institute of computer science
112,535 Shri Chimanbhai Patel post Graduate Institute of Computer Applications , Shri Chimanbhai Patel post Graduate Institute of Computer Applications 
113,536 Shri Jairambhai Patel Institute of Business Management & Computer Applications , Shri Jairambhai Patel Institute of Business Management  Computer Applications 
114,537 Shri Jaysukhlal Vadhar Institute of Management Studies Shri Bipin T. Vadhar College of Management , Shri Jaysukhlal Vadhar Institute of Management Studies Shri Bipin T. Vadhar College of Management 
115,538 Shri Sunshine Education Trust Group of Institute , Shri Sunshine Education Trust Group of Institute 
116,540 T.N.Rao College of Information Technology , T.N.Rao College of Information Technology 
117,542 Atmiya Institute of Technology & Science-, Atmiya Institute of Technology  Science
118,543 Dr. Bharat Barad Institute of Management & Computer Science-Sutrapada , Dr. Bharat Barad Institute of Management  Computer ScienceSutrapada 
119,544 Dr. Subhahsh Pethaljibhai Chavda Ahir Kelvani Mandal's Group of Institutions, Dr. Subhahsh Pethaljibhai Chavda Ahir Kelvani Mandals Group of Institutions
120,545 Growmore Group of Institutions , Growmore Group of Institutions 
121,546 K.B.Raval Institute of Computer Studies, K.B.Raval Institute of Computer Studies
122,547 Murlidhar Group of Institutions, Murlidhar Group of Institutions
123,548 Patel Group of Institutions , Patel Group of Institutions 
124,549 R.B.Institute of Management Studies , R.B.Institute of Management Studies 
125,551 Smt. Vanitaben Bachubhai Nandola MCA College, Smt. Vanitaben Bachubhai Nandola MCA College
126,552 VJKM Institute of Management and Computer Studies, VJKM Institute of Management and Computer Studies
127,554 S SAGARAWAL INSTITUTE OF COMPUTER SCIENCE, S SAGARAWAL INSTITUTE OF COMPUTER SCIENCE
128,555 SMT K K PATEL MCA COLLEGE, SMT K K PATEL MCA COLLEGE
129,556 SAMARTH COLLEGE OF COMPUTER APPLICATION HAJIPUR, SAMARTH COLLEGE OF COMPUTER APPLICATION HAJIPUR
130,557 SMT R O PATEL WOMEN'S MCA COLLEGE, SMT R O PATEL WOMENS MCA COLLEGE
131,60 V.V. College Shamali , V.V. College Shamali 
132,601 A. Y. Dadabhai Technical Institute, A. Y. Dadabhai Technical Institute
133,602 A.V.Parekh Technical Institute, A.V.Parekh Technical Institute
134,603 Atmiya institue of Technology & Science for Diploma Studies Yogi Devine Soc, Atmiya institue of Technology  Science for Diploma Studies Yogi Devine Soc
135,604 B and B Institute of Technology, B and B Institute of Technology
136,605 B and B Institute of Technology, B and B Institute of Technology
137,606 Butler Polytechnic, Butler Polytechnic
138,608 Bhagvan Mahavir Polytechnic, Bhagvan Mahavir Polytechnic
139,609 C.U.Shah Polytechnic, C.U.Shah Polytechnic
140,610 Christ Polytechnic Institute, Christ Polytechnic Institute
141,611 Dr.J.N.Maheta Government Polytechnic, Dr.J.N.Maheta Government Polytechnic
142,612 Dr.S.& S.S.Gandhi college of Engg. And Technology, Dr.S. S.S.Gandhi college of Engg. And Technology
143,613 Excel Institute of Diploma Studies, Excel Institute of Diploma Studies
144,614 Government Girls Polytechnic, Government Girls Polytechnic
145,615 Government Girls Polytechnic, Government Girls Polytechnic
146,616 Government Polytechnic Aahva-Dang , Government Polytechnic AahvaDang 
147,617 Government Polytechnic Ahmedabad , Government Polytechnic Ahmedabad 
148,618 Government Polytechnic Godhra , Government Polytechnic Godhra 
149,619 Government Polytechnic Junagadh , Government Polytechnic Junagadh 
150,620 Government Polytechnic Rajkot , Government Polytechnic Rajkot 
151,621 Government Polytechnic, Government Polytechnic
152,622 Government Polytechnic, Government Polytechnic
153,623 Government Polytechnic, Government Polytechnic
154,624 Government Polytechnic, Government Polytechnic
155,625 Government Polytechnic, Government Polytechnic
156,626 Government Polytechnic, Government Polytechnic
157,627 Government Polytechnic, Government Polytechnic
158,628 Government Polytechnic, Government Polytechnic
159,629 Government Polytechnic, Government Polytechnic
160,630 Government Polytechnic, Government Polytechnic
161,631 K.D.Polytechnic, K.D.Polytechnic
162,632 K.P.Thakkar Swa. Krishanajeevandas Insti of Tech, K.P.Thakkar Swa. Krishanajeevandas Insti of Tech
163,633 L.J.Polytechnic, L.J.Polytechnic
164,634 L.E.COLLEGE , L.E.COLLEGE 
165,635 M.L.Institute of Diploma Studies, M.L.Institute of Diploma Studies
166,636 Merchant Polytechnic, Merchant Polytechnic
167,637 N.G.Patel Polytechnic, N.G.Patel Polytechnic
168,638 Parul Institute of Diploma Studies , Parul Institute of Diploma Studies 
169,639 Parul Institute of Diploma Studies, Parul Institute of Diploma Studies
170,640 R.C.Technical Institute, R.C.Technical Institute
171,641 R.H.PATEL INSTI. OF TECHNOLOGY, R.H.PATEL INSTI. OF TECHNOLOGY
172,642 RMS Polytechnic Waghodiya , RMS Polytechnic Waghodiya 
173,643 Sarvodaya Polytechnic Institute, Sarvodaya Polytechnic Institute
174,644 B.S.Patel Polytechnic, B.S.Patel Polytechnic
175,645 Shri K.J.Polytechnic, Shri K.J.Polytechnic
176,646 Shri N.M.Gopani Polytechnic institute, Shri N.M.Gopani Polytechnic institute
177,647 Shri Tapi Brahmcharyashram sabha college of Diploma Engg, Shri Tapi Brahmcharyashram sabha college of Diploma Engg
178,648 Sigma Institute of Technology & Engg., Sigma Institute of Technology  Engg.
179,649 Sir Bhavsinhji Polytechnic Institute, Sir Bhavsinhji Polytechnic Institute
180,650 Swami Sacchidanand Polytechnic college, Swami Sacchidanand Polytechnic college
181,651 T.F.Gandhidham Polytechnic, T.F.Gandhidham Polytechnic
182,652 Verdhman Bharti Trust Technical Institute Of Diploma Studies, Verdhman Bharti Trust Technical Institute Of Diploma Studies
183,653 Tolani Foundation, Tolani Foundation
184,654 V.P.M.P. Polytechnic, V.P.M.P. Polytechnic
185,655 Vallabhbudhi polytechnic, Vallabhbudhi polytechnic
186,656 Vidhyabharti Trust Polytechnic Institute, Vidhyabharti Trust Polytechnic Institute
187,661 Ved Vyas Polytechnic, Ved Vyas Polytechnic
188,662 Darshan Inst. Of Eng. & Tech. For Diploma Studies, Darshan Inst. Of Eng.  Tech. For Diploma Studies
189,663 Balaji Insti. Of Eng. & Tech, Balaji Insti. Of Eng.  Tech
190,664 Atul Polytechnic, Atul Polytechnic
191,665 Om Insti. Of Eng.& Technology, Om Insti. Of Eng. Technology
192,666 S.B. Polytechnic, S.B. Polytechnic
193,667 Dalia Insti. Of Diploma Studies, Dalia Insti. Of Diploma Studies
194,668 Narayanbhai Bhikhabhai Patel Polytechnic, Narayanbhai Bhikhabhai Patel Polytechnic
195,669 Savitaben Dahyabhai Patel Polytechnic, Savitaben Dahyabhai Patel Polytechnic
196,671 Swaminarayan College of Engg., Swaminarayan College of Engg.
197,672 Omshanti Diploma Engg, Omshanti Diploma Engg
198,674 Aarsh Mahavidyalaya, Aarsh Mahavidyalaya
199,675 F. D., F. D.
200,676 H. B. Patel Institute of Diploma Engineering & Technology, H. B. Patel Institute of Diploma Engineering  Technology
201,677 Shree Hari Polytechnic Institute, Shree Hari Polytechnic Institute
202,678 Balasinor College of Polytechnic, Balasinor College of Polytechnic
203,679 J.J.C.E. Trust Sanchalit N.R.Vekaria Insti. Of Tech. , J.J.C.E. Trust Sanchalit N.R.Vekaria Insti. Of Tech. 
204,680 Arpit Institute of Engineering & Technology , Arpit Institute of Engineering  Technology 
205,681 Smt. R.S.Patel Insti. Of Diploma Engg., Smt. R.S.Patel Insti. Of Diploma Engg.
206,682 D.A. Diploma Engg. and Technology, D.A. Diploma Engg. and Technology
207,683 Image Engg. And Technology Institute, Image Engg. And Technology Institute
208,699 ARUN MUCHHALA ENGINEERING COLLEGE KHOKHARA MAHADEV, ARUN MUCHHALA ENGINEERING COLLEGE KHOKHARA MAHADEV
209,701 Ahmedabad Institute Of Technology Gota, Ahmedabad Institute Of Technology Gota
210,702 Anand Institute Of Management. Anand , Anand Institute Of Management. Anand 
211,703 Atmiya Institute Of Technology & Science Rajkot , Atmiya Institute Of Technology  Science Rajkot 
212,704 Bhagwan Mahavir College of Management , Bhagwan Mahavir College of Management 
213,705 C.K.Shah Vijapurwala Institute of Management, C.K.Shah Vijapurwala Institute of Management
214,706 C.K.Pithawalla Institute of Management -Surat , C.K.Pithawalla Institute of Management Surat 
215,708 Chaudhari Technical Institute - MBA WOMENS, Chaudhari Technical Institute  MBA WOMENS
216,709 D.L.Patel Institute of Management & Technology-MBA Programme , D.L.Patel Institute of Management  TechnologyMBA Programme 
217,711 Dr. J.K. Patel Institute of Management, Dr. J.K. Patel Institute of Management
218,713 Grow More Faculty of Management , Grow More Faculty of Management 
219,714 GLS Institute of Computer Technology , GLS Institute of Computer Technology 
220,715 GANDHINAGAR INSTITUTE OF TECHNOLOGY, GANDHINAGAR INSTITUTE OF TECHNOLOGY
221,716 GIDC Rajju Shroff Rofel Institute of Management Studies-Vapi , GIDC Rajju Shroff Rofel Institute of Management StudiesVapi 
222,717 Golden Jubilee Institute of Management & Technology , Golden Jubilee Institute of Management  Technology 
223,718 Hasmukh Goswami College of Engineering, Hasmukh Goswami College of Engineering
224,719 Indu Management Institute -Vadodara , Indu Management Institute Vadodara 
225,722 K.K.Parekh Institute of Management Studies , K.K.Parekh Institute of Management Studies 
226,724 K.P.Patel School of Management and Computer Studies , K.P.Patel School of Management and Computer Studies 
227,725 Kalol Institute of Management , Kalol Institute of Management 
228,727 M.H.Gardi School of Management, M.H.Gardi School of Management
229,728 L.J. INSTITUTE OF ENGG AND TECH., L.J. INSTITUTE OF ENGG AND TECH.
230,729 L.J.Institute of Management Studies , L.J.Institute of Management Studies 
231,730 L.J.Institute of Engineering & Technology , L.J.Institute of Engineering  Technology 
232,731 Laxmi Institute of Management, Laxmi Institute of Management
233,732 Leelaben Dashrathbhai Rramdas Patel Institute of Technology & Research , Leelaben Dashrathbhai Rramdas Patel Institute of Technology  Research 
234,733 Late Smt.Shardaben Ghanshyambhai Patel Institute of Management Studies , Late Smt.Shardaben Ghanshyambhai Patel Institute of Management Studies 
235,735 N.R. Institute of Business Management , N.R. Institute of Business Management 
236,736 N.R.Vekaria Institute of Business Management Studies , N.R.Vekaria Institute of Business Management Studies 
237,737 Narmada College of Management , Narmada College of Management 
238,738 Noble Engineering College, Noble Engineering College
239,739 Nootan Sarva Vidyalaya Kelavani Mandal Sanchalit, Nootan Sarva Vidyalaya Kelavani Mandal Sanchalit
240,742 Parul Institute of Engineering & Technology-MBA Programme , Parul Institute of Engineering  TechnologyMBA Programme 
241,746 R.B. Institute of Management Studies , R.B. Institute of Management Studies 
242,749 S.V. Institute of Management , S.V. Institute of Management 
243,750 S. R. Luthra Institute of Management , S. R. Luthra Institute of Management 
244,751 Sabar Institute of Management , Sabar Institute of Management 
245,752 Department of Business Management, Department of Business Management
246,753 Samarth Institute of Management , Samarth Institute of Management 
247,755 Sardar Patel College of Administration & Management , Sardar Patel College of Administration  Management 
248,757 Sarvoday College of Management and Technology , Sarvoday College of Management and Technology 
249,758 Sri Aurobindo Institute of Management , Sri Aurobindo Institute of Management 
250,759 Shree H.N.Shukla College of Management Studies, Shree H.N.Shukla College of Management Studies
251,760 Shree Leuva Patel Trust MBA Mahila College , Shree Leuva Patel Trust MBA Mahila College 
252,761 Shree Sahajanand Institute of Management , Shree Sahajanand Institute of Management 
253,762 Shree Samanvay Institute of Business Administration , Shree Samanvay Institute of Business Administration 
254,764 Shree Saraswati Education Sansthans Group of Institutions, Shree Saraswati Education Sansthans Group of Institutions
255,766 GITANJALI INSTITUTE OF MANAGEMENT STUDIES, GITANJALI INSTITUTE OF MANAGEMENT STUDIES
256,767 Brahmanand Insitute of Management, Brahmanand Insitute of Management
257,768 Shri Chimanbhai Patel Institute of Management and Research , Shri Chimanbhai Patel Institute of Management and Research 
258,769 Shri Jairambhai Patel Institute of Business Management & Computer Applications , Shri Jairambhai Patel Institute of Business Management  Computer Applications 
259,770 Shri Jaysukhlal Vadhar Institute of Management Studies Shri Bipin T. Vadhar College of Management , Shri Jaysukhlal Vadhar Institute of Management Studies Shri Bipin T. Vadhar College of Management 
260,771 Shri MH Kadakia Institute of Management & Computer Studies , Shri MH Kadakia Institute of Management  Computer Studies 
261,773 Shri Sunshine Education Trust Group of Institute , Shri Sunshine Education Trust Group of Institute 
262,775 Sigma Institute of Engineering , Sigma Institute of Engineering 
263,776 Sigma Institute of Management Studies, Sigma Institute of Management Studies
264,777 Smt.Vanitaben Bachubhai Nandola MBA College , Smt.Vanitaben Bachubhai Nandola MBA College 
265,778 Som-Lalit Institute of Business Management, SomLalit Institute of Business Management
266,781 SRK Institute of Management & Computer Education , SRK Institute of Management  Computer Education 
267,782 Swami Ghanshyam Jivandasji MBA College , Swami Ghanshyam Jivandasji MBA College 
268,784 T.N.Rao College of Information Technology , T.N.Rao College of Information Technology 
269,787 Atmiya Institute of Technology & Science , Atmiya Institute of Technology  Science 
270,788 C.C.Gardi Institute of Management, C.C.Gardi Institute of Management
271,790 Divaba Institute of Management & Computer Application , Divaba Institute of Management  Computer Application 
272,791 Dr. Bharat Barad Institute of Management & Computer Science, Dr. Bharat Barad Institute of Management  Computer Science
273,792 Dr. J.K. Patel Institute of Management-Vadodara , Dr. J.K. Patel Institute of ManagementVadodara 
274,794 Global Institute of Management , Global Institute of Management 
275,795 J.H.Patel College of Management & Technology , J.H.Patel College of Management  Technology 
276,796 L.J.Institute of Management Studies , L.J.Institute of Management Studies 
277,797 M.H.Gardi School of Management, M.H.Gardi School of Management
278,798 Murlidhar Group of Institutions , Murlidhar Group of Institutions 
279,799 Naran Lala School of Industrial Management & Computer Science- Navsari -, Naran Lala School of Industrial Management  Computer Science Navsari 
280,800 Oxford School of Management, Oxford School of Management
281,801 Param Institute of Management & Research, Param Institute of Management  Research
282,802 Parul Institute of Management , Parul Institute of Management 
283,803 Patel Group of Institutions , Patel Group of Institutions 
284,804 R. H. Patel Institute of Management-Goblaj, R. H. Patel Institute of ManagementGoblaj
285,805 S. R. Luthra Institute of Management , S. R. Luthra Institute of Management 
286,806 S.S.Agrawal Institute of Management & Technology-Navsari-, S.S.Agrawal Institute of Management  TechnologyNavsari
287,807 Sal Institute of Management , Sal Institute of Management 
288,810 Shree Swaminarayan Institute of Management & I.T.Porbandar., Shree Swaminarayan Institute of Management  I.T.Porbandar.
289,811 Smt. Saralaben Vasantbhai Malaviya School of Management , Smt. Saralaben Vasantbhai Malaviya School of Management 
290,814 Vidyabharti Trust Inst.Of technology & Reserch Centre , Vidyabharti Trust Inst.Of technology  Reserch Centre 
291,816 VJKM Institute of Management and Computer Studies, VJKM Institute of Management and Computer Studies
292,818 SMT K K PATEL MBA COLLEGE, SMT K K PATEL MBA COLLEGE
293,820 SHAYONA INSTITUTE OF BUSINESS MANAGEMENT, SHAYONA INSTITUTE OF BUSINESS MANAGEMENT
294,822 INSTITUTE OF TECHNOLOGY & MANAGEMENT UNIVERSITY TECHNICAL CAMPUS PALADI, INSTITUTE OF TECHNOLOGY  MANAGEMENT UNIVERSITY TECHNICAL CAMPUS PALADI
295,91 B.M. LAW COLLEGE JHINJHANA, B.M. LAW COLLEGE JHINJHANA
296,A & M Institute of Management & Technology,A  M Institute of Management  Technology
297,A B N SEAL COLLEGE,A B N SEAL COLLEGE
298,A B R College of Engineering and Technology,A B R College of Engineering and Technology
299,A C M COLLEGE,A C M COLLEGE
300,A C M E INSTITUTE OF MANAGEMENT AND TECHNOLOGY,A C M E INSTITUTE OF MANAGEMENT AND TECHNOLOGY
301,A C T College of Engineering and Technology ,A C T College of Engineering and Technology 
302,A C TRAINING COLLEGE,A C TRAINING COLLEGE
303,A E C S Maruthi College of Nursing ,A E C S Maruthi College of Nursing 
304,A G PATIL INSTITUTE OF TECHNOLOGY 18 2A2 PRATANAGER SOREGON ROAD ,A G PATIL INSTITUTE OF TECHNOLOGY  A PRATANAGER SOREGON ROAD 
305,A J College of Nursing ,A J College of Nursing 
306,A J Inst. of Medical Sciences,A J Inst. of Medical Sciences
307,A J Inst. of Medical Sciences ,A J Inst. of Medical Sciences 
