,College Name,New_name
32753,THE VETAL BAMBORDE VIBHAG SHIKSHAN PRASARAK MANDALâ€™S DADASAHEB TIRODKAR COLLEGE OF SCIENCE AND COMMERCE,THE VETAL BAMBORDE VIBHAG SHIKSHAN PRASARAK MANDALS DADASAHEB TIRODKAR COLLEGE OF SCIENCE AND COMMERCE
32754,The Yash Foundations College of Nursing & Medical Research Institute,The Yash Foundations College of Nursing  Medical Research Institute
32755,The Younis Sultan College of Engineering ,The Younis Sultan College of Engineering 
32756,THEJUS ENGINEERING COLLEGE,THEJUS ENGINEERING COLLEGE
32757,Thellar College of Education ,Thellar College of Education 
32758,THENI COLLEGE OF ARTS SCIENCE ,THENI COLLEGE OF ARTS SCIENCE 
32759,Theni Kamavar Sangam College of Technology,Theni Kamavar Sangam College of Technology
32760,THENI KAMMAVAR SANGAM COLLEGE OF ARTS & SCIENCE ,THENI KAMMAVAR SANGAM COLLEGE OF ARTS  SCIENCE 
32761,Theni Kammavar Sangam College of Education ,Theni Kammavar Sangam College of Education 
32762,Theophilus College of Nursing,Theophilus College of Nursing
32763,Thevanai Ammal College for Women,Thevanai Ammal College for Women
32764,THIAGARAJAR COLLEGE ,THIAGARAJAR COLLEGE 
32765,Thiagarajar College of Education ,Thiagarajar College of Education 
32766,Thiagarajar College of Engineering,Thiagarajar College of Engineering
32767,Thiagarajar College of Preceptors,Thiagarajar College of Preceptors
32768,THIAGARAJAR SCHOOL OF MANAGEMENT ,THIAGARAJAR SCHOOL OF MANAGEMENT 
32769,THIAGI THARMAKKAN AMIRTHAM COLLEGE OF ARTS AND SCIENCE ,THIAGI THARMAKKAN AMIRTHAM COLLEGE OF ARTS AND SCIENCE 
32770,THIRAVIAM COLLEGE OF ARTS & SCIENCE FOR WOMEN,THIRAVIAM COLLEGE OF ARTS  SCIENCE FOR WOMEN
32771,Thiraviam College of Education ,Thiraviam College of Education 
32772,THIRAVIAM COLLEGE OF NURSING,THIRAVIAM COLLEGE OF NURSING
32773,Thiru Kolanchiyappar Govt.Arts College,Thiru Kolanchiyappar Govt.Arts College
32774,Thiru. A.Govindasamy Govt.Arts College,Thiru. A.Govindasamy Govt.Arts College
32775,Thiru. Vi. Ka. Government Arts College,Thiru. Vi. Ka. Government Arts College
32776,Thirumal College of Education ,Thirumal College of Education 
32777,Thirumala College of Medical Lab Technology,Thirumala College of Medical Lab Technology
32778,Thirumala College of Nursing,Thirumala College of Nursing
32779,Thirumala college of Pharmacy ,Thirumala college of Pharmacy 
32780,Thirumala College of Physiotherapy,Thirumala College of Physiotherapy
32781,Thirumala Engineering College ,Thirumala Engineering College 
32782,Thirumalai Engineering College ,Thirumalai Engineering College 
32783,Thirumalai Srinivasa College of Education ,Thirumalai Srinivasa College of Education 
32784,THIRUMURUGAN ARTS AND SCIENCE COLLEGE ,THIRUMURUGAN ARTS AND SCIENCE COLLEGE 
32785,THIRUTHANGAL NADAR COLLEGE ,THIRUTHANGAL NADAR COLLEGE 
32786,Thiruvalla Medical Mission College of Nursing,Thiruvalla Medical Mission College of Nursing
32787,Thiruvalluvar Arts &Science College,Thiruvalluvar Arts Science College
32788,Thiruvalluvar College,Thiruvalluvar College
32789,THIRUVALLUVAR COLLEGE OF ARTS AND SCIENCE FOR WOMEN,THIRUVALLUVAR COLLEGE OF ARTS AND SCIENCE FOR WOMEN
32790,Thiruvalluvar College of Education for Women ,Thiruvalluvar College of Education for Women 
32791,Thiruvalluvar College of Engineering and Technology ,Thiruvalluvar College of Engineering and Technology 
32792,Thiruvalluvar Government Arts College ,Thiruvalluvar Government Arts College 
32793,Thiruvalluvar University College of Arts & Science ,Thiruvalluvar University College of Arts  Science 
32794,Thiruvalluvar University College of Arts &SCience,Thiruvalluvar University College of Arts SCience
32795,Thiruvalluvar University college of Arts &Science ,Thiruvalluvar University college of Arts Science 
32796,Thiruvalluvar University PG Extension Centre ,Thiruvalluvar University PG Extension Centre 
32797,Thiruvananthapuram ,Thiruvananthapuram 
32798,Thiyagi Dharmakkan Amirtham College of Education ,Thiyagi Dharmakkan Amirtham College of Education 
32799,Thomas Cangon Teachers Training College,Thomas Cangon Teachers Training College
32800,Thomas Jones Synod College ,Thomas Jones Synod College 
32801,Thomas Stephen's Konkani Kendra ,Thomas Stephens Konkani Kendra 
32802,Thong Nokbe College ,Thong Nokbe College 
