Column,Weights
Age,1
Experienced,1
Is_Bank,1
Is_sales,1
Marks_Category,1
Is_Graduate,1
Is_Post_Graduate,1
Post_Graduate_Parttime,1
Is_Mtech,1
Is_Btech,1
Years_Experience,1
